kanji,hiragana/katakana,persian,english
熱中症,ねっちゅうしょう,"گرمازدگی، آفتاب زدگی","heatstroke, sunstroke"
ネット,ねっと,تور,net
ネットワーク,ネットワーク,شبکه,network
粘り強い,ねばりづよい,"سمج، مصر","persistent, tenacious"
値引きする,ねびきする,"تخفیف دادن، کاهش قیمت","to discount, to reduce the price"
狙う,ねらう,"هدف گرفتن، نشانه گرفتن","to aim at, to target"
年間,ねんかん,سالانه,"annual, yearly"
年金,ねんきん,"حقوق بازنشستگی، مستمری","pension, annuity"
年月,ねんげつ,"ماه ها و سال ها، زمان","months and years, time"
年収,ねんしゅう,درآمد سالانه,annual income
年中,ねんじゅう,در تمام طول سال,"all year round, throughout the year"
年代,ねんだい,"سن، دوره","age, era"
年度,ねんど,"سال مالی، سال تجاری","fiscal year, business year"
年度末,ねんどまつ,پایان سال مالی,end of the fiscal year
念のため,ねんのため,"فقط در صورت لزوم، برای اطمینان","just in case, for assurance"
年齢不問,ねんれいふもん,بدون در نظر گرفتن سن,regardless of age
農家,のうか,"کشاورز، خانواده کشاورز","farmer, farm family"
農業,のうぎょう,کشاورزی,"agriculture, farming"
逃す,のがす,"از دست دادن (فرصت)، اجازه فرار دادن","to miss (an opportunity), to let escape"
載せる,のせる,"قرار دادن روی، گذاشتن روی","to place on, to put on"
除く,のぞく,"حذف کردن، مستثنی کردن","to remove, to exclude"
のぞく,のぞく,"دزدکی نگاه کردن، نگاه کردن به داخل","to peek, to look into"
望ましい,のぞましい,"مطلوب، ترجیح دادنی","desirable, preferable"
後ほど,のちほど,"بعداً، متعاقباً","later, afterwards"
延ばす,のばす,"تمدید کردن، به تعویق انداختن","to extend, to postpone"
のびのびする,のびのびする,"آرام شدن، احساس راحتی کردن","to relax, to feel at ease"
延びる,のびる,"کشیده شدن، رشد کردن","to stretch, to grow"
述べる,のべる,"بیان کردن، ذکر کردن","to state, to mention"
昇,のぼる,"صعود کردن، بالا رفتن","to ascend, to go up"
乗り,のり,"سواری، سوار شدن","ride, boarding"
乗り越える,のりこえる,"غلبه کردن، پشت سر گذاشتن","to overcome, to get over"
乗り心地,のりごこち,راحتی سواری,riding comfort
載る,のる,"قرار گرفتن روی، ظاهر شدن (در چاپ)","to be placed on, to appear (in print)"
のろい,のろい,"کند، تنبل","slow, sluggish"
のろのろ,のろのろ,"آهسته، تنبل","slowly, sluggishly"
ハードトレーニング,ハードトレーニング,تمرین سخت,hard training
ハード,ハード,سخت,hard
梅雨前線,ばいうぜんせん,جبهه فصل بارانی,rainy season front
パイキング,パイキング,وایکینگ,Viking
背景,はいけい,پس زمینه,background
配達する,はいたつする,تحویل دادن,to deliver
はいけいする,はいけいする,محترمانه اطلاع دادن,to respectfully inform
配布する,はいふする,توزیع کردن,to distribute
配付する,はいふする,توزیع کردن,to distribute
配慮する,はいりょする,"در نظر گرفتن، لحاظ کردن","to consider, to take into account"
はう,はう,خزیدن,"to crawl, to creep"
生える,はえる,"رشد کردن، جوانه زدن","to grow, to spring up"
お墓,おはか,"قبر، آرامگاه","grave, tomb"
はがす,はがす,کندن,"to peel off, to tear off"
ばかにする,ばかにする,مسخره کردن,"to make fun of, to ridicule"
お墓参りする,おはかまいりする,زیارت قبر,to visit a grave
ばからしい,ばからしい,"پوچ، مسخره","absurd, ridiculous"
掃き掃除,はきそうじ,جارو کردن,sweeping
はきはきする,はきはきする,"چابک بودن، پرانرژی بودن","to be brisk, to be energetic"
莫大な,ばくだいな,"عظیم، گسترده","enormous, vast"
爆発する,ばくはつする,منفجر شدن,"to explode, to burst"
励ます,はげます,"تشویق کردن، روحیه دادن","to encourage, to cheer up"
派遣会社,はけんがいしゃ,آژانس کاریابی موقت,temporary staffing agency
派遣社員,はけんしゃいん,کارمند موقت,temporary employee
挟む,はさむ,"نگه داشتن بین، درج کردن","to hold between, to insert"
恥,はじ,"شرم، خجالت","shame, embarrassment"
外れる,はずれる,"جدا شدن، قطع شدن","to come off, to be disconnected"
肌,はだ,پوست,skin
パターン,パターン,الگو,pattern
果たして,はたして,"واقعاً، در واقع","really, actually"
果たす,はたす,"انجام دادن، دست یافتن به","to accomplish, to achieve"
パックする,パックする,بسته بندی کردن,to pack
発言する,はつげんする,اظهار نظر کردن,"to make a statement, to remark"
発行する,はっこうする,"صادر کردن، منتشر کردن","to issue, to publish"
発生する,はっせいする,رخ دادن,"to occur, to happen"
発想する,はっそうする,"تصور کردن (ایده)، فکر کردن به","to conceive (an idea), to think up"
ばったり,ばったり,ناگهان,"suddenly, abruptly"
発展途上国,はってんとじょうこく,کشور در حال توسعه,developing country
発売,はつばいする,"به فروش گذاشتن، عرضه کردن","to put on sale, to release"
発明する,はつめいする,اختراع کردن,to invent
発明家,はつめいか,مخترع,inventor
話し手,はなして,گوینده,speaker
花束,はなたば,دسته گل,bouquet (of flowers)
花婿,はなむこ,داماد,bridegroom
華やかな,はなやかな,"پر زرق و برق، درخشان","showy, brilliant"
花嫁,はなよめ,عروس,bride
離れる,はなれる,"جدا شدن، ترک کردن","to separate, to leave"
はねる,はねる,"پاشیدن، پریدن","to splash, to jump"
浜辺,はまべ,ساحل دریا,"beach, seashore"
場面,ばめん,"صحنه، موقعیت","scene, situation"
払い込む,はらいこむ,"پرداخت کردن، واریز کردن","to pay in, to deposit"
腹が立つ,はらがたつ,"عصبانی شدن، رنجیدن","to get angry, to be offended"
ばらす,ばらす,"فاش کردن، آشکار کردن","to expose, to reveal"
はらはらする,はらはらする,"عصبی بودن، مضطرب بودن","to be nervous, to be anxious"
腹を抱える,はらをかかえる,از خنده روده بر شدن,to hold one's sides with laughter
張り切る,はりきる,"مشتاق بودن، سرحال بودن","to be enthusiastic, to be in high spirits"
貼り付ける,はりつける,"چسباندن، الصاق کردن","to paste, to affix"
はるかな,はるかな,"دور، دوردست","distant, remote"
はれる,はれる,"صاف شدن (آب و هوا)، آفتابی بودن","to clear up (weather), to be sunny"
範囲,はんい,"دامنه، محدوده","scope, range"
反映する,はんえいする,"منعکس کردن، نشان دادن","to reflect, to represent"
パンクする,パンクする,"پنچر شدن، خراب شدن","to have a flat tire, to break down"
犯罪,はんざい,"جرم، تخلف","crime, offense"
反省する,はんせいする,"تأمل کردن، پشیمان شدن","to reflect on, to regret"
反省会,はんせいかい,"جلسه بازبینی، جلسه بررسی","review meeting, post-mortem"
判断する,はんだんする,"قضاوت کردن، تصمیم گرفتن","to judge, to decide"
反応する,はんのうする,"واکنش نشان دادن، پاسخ دادن","to react, to respond"
販売する,はんばいする,"فروختن، بازاریابی کردن","to sell, to market"
反面,はんめん,"از طرف دیگر، برعکس","on the other hand, conversely"
反論,はんろん,"استدلال مخالف، رد کردن","counterargument, rebuttal"
ヒーロー,ヒーロー,قهرمان,hero
冷え込み,ひえこみ,"سرمای ناگهانی، کاهش دما","cold snap, drop in temperature"
冷え込む,ひえこむ,"سرد شدن، خنک شدن","to get cold, to get chilly"
比較する,ひかくする,مقایسه کردن,to compare
比較的,ひかくてき,"نسبتاً، به طور مقایسه ای","relatively, comparatively"
日陰,ひかげ,سایه,"shade, shadow"
東向き,ひがしむき,رو به شرق,facing east
引き受ける,ひきうける,"بر عهده گرفتن، پذیرفتن","to undertake, to accept"
引き落とし,ひきおとし,برداشت خودکار,automatic withdrawal
引き落とす,ひきおとす,"کسر کردن، برداشت کردن","to deduct, to withdraw"
引き返す,ひきかえす,"برگشتن، بازگشتن","to turn back, to return"
引きこもる,ひきこもる,"کناره گیری کردن، خود را حبس کردن","to withdraw, to shut oneself in"
引き止める,ひきとめる,"بازداشت کردن، عقب نگه داشتن","to detain, to hold back"
ひきょうな,ひきょうな,"ترسو، ناعادلانه","cowardly, unfair"
ひきょう者,ひきょうもの,"ترسو، بزدل","coward, dastard"
引き分ける,ひきわける,"مساوی کردن (بازی)، مساوی شدن","to draw (a game), to tie"
悲劇,ひげき,تراژدی,tragedy
日差し,ひざし,نور خورشید,"sunlight, sunshine"
久しい,ひさしい,"مدت طولانی (از آن زمان)، دیرینه","long time (since), long-standing"
久しぶり,ひさしぶり,"بعد از مدت طولانی، مدتی بود","after a long time, it's been a while"
ビジネス,ビジネス,تجارت,business
びしょぬれ,びしょぬれ,"خیس خیس، غرق در آب","soaking wet, drenched"
びしょびしょな,びしょびしょな,"خیس خیس، غرق در آب","soaking wet, drenched"
引っ掛かる,ひっかかる,"گرفتار شدن، فریب خوردن","to be caught, to be tricked"
引っ掛ける,ひっかける,"آویزان کردن، فریب دادن","to hang, to trick"
必死な,ひっしな,"ناامید، دیوانه وار","desperate, frantic"
筆者,ひっしゃ,"نویسنده، مولف","writer, author"
ひっそりとする,ひっそりとする,"ساکت بودن، آرام بودن","to be quiet, to be still"
否定する,ひていする,"انکار کردن، نفی کردن","to deny, to negate"
人柄,ひとがら,"شخصیت، منش","personality, character"
一口,ひとくち,"یک گاز، یک جرعه","a bite, a sip"
ひとたび,ひとたび,"یک بار، اگر یک بار","once, if once"
人手,ひとで,"نیروی انسانی، کارگر","manpower, labor"
人手不足,ひとでぶそく,کمبود نیروی کار,labor shortage
人道り,ひとどうり,تردد عابران پیاده,pedestrian traffic
ひとまず,ひとまず,"فعلاً، در حال حاضر","for the time being, for now"
人見知り,ひとみしりする,از غریبه ها خجالتی بودن,to be shy of strangers
人目,ひとめ,"توجه عمومی، چشم کسی","public attention, one's eyes"
一人暮らし,ひとりぐらし,زندگی تنها,living alone
独り言,ひとりごと,"تک گویی، خودگویی","monologue, soliloquy"
一人住まい,ひとりずまい,زندگی تنها,living alone
一人旅,ひとりたび,سفر انفرادی,solo travel
日なた,ひなた,مکان آفتابی,sunny place
避難する,ひなんする,"تخلیه کردن، پناه بردن","to evacuate, to take refuge"
非難する,ひなんする,"انتقاد کردن، سرزنش کردن","to criticize, to blame"
避難場所,ひなんばしょ,"محل تخلیه، پناهگاه","evacuation site, refuge"
非凡な,ひぼんな,"خارق العاده، قابل توجه","extraordinary, remarkable"
肥満する,ひまんする,"چاق شدن، اضافه وزن پیدا کردن","to become obese, to gain weight"
ひやひやする,ひやひやする,"عصبی شدن، مضطرب بودن","to feel nervous, to be anxious"
ビュッフェ,ビュッフェ,بوفه,buffet
評価する,ひょうかする,"ارزیابی کردن، سنجیدن","to evaluate, to assess"
表示する,ひょうじする,"نمایش دادن، نشان دادن","to display, to indicate"
表示価格,ひょうじかかく,قیمت نمایش داده شده,displayed price
平等,びょうどうな,"برابر، بی طرف","equal, impartial"
評判,ひょうばん,"شهرت، محبوبیت","reputation, popularity"
ひょっとすると,ひょっとすると,"احتمالاً، شاید","possibly, perhaps"
日和,ひより,"آب و هوا، روز","weather, day"
平社員,ひらしゃいん,کارمند معمولی,ordinary employee
ビル火災,ビルかさい,آتش سوزی ساختمان,building fire
ヒロイン,ひろいん,قهرمان زن,heroine
疲労する,ひろうする,"خسته شدن، فرسوده شدن","to become tired, to fatigue"
広々とする,ひろびろとする,"جادار بودن، وسیع بودن","to be spacious, to be wide"
品,ひん,"کالا، جنس","article, goods"
便,びん,"راحتی، خدمات","convenience, service"
品格,ひんかく,"وقار، ظرافت","dignity, grace"
品質,ひんしつ,کیفیت,quality
ファミリ,ふぁみり,خانواده,family
ファミリーレストラン,ファミリーレストラン,رستوران خانوادگی,family restaurant
ファミレス,ファミレス,رستوران خانوادگی (مخفف),family restaurant (abbreviation)
不安定な,ふあんていな,"ناپایدار، ناامن","unstable, insecure"
風景,ふうけい,"منظره، چشم انداز","scenery, landscape"
ブーム,ブーム,"رونق، مد زودگذر","boom, fad"
フォント,フォント,فونت,font
不可欠な,ふかけつな,"ضروری، اساسی","indispensable, essential"
不可能な,ふかのうな,غیرممکن,impossible
ぶかぶかな,ぶかぶかな,"گشاد، کیسه ای","loose-fitting, baggy"
拭き掃除,ふきそうじ,"پاک کردن، تمیز کردن","wiping, cleaning"
普及する,ふきゅうする,"گسترش دادن، محبوب کردن","to spread, to popularize"
不況,ふきょう,"رکود، افسردگی","recession, depression"
付近,ふきん,"مجاورت، محله","vicinity, neighborhood"
副作用,ふくさよう,عارضه جانبی,side effect
福祉,ふくし,"رفاه، آسایش","welfare, well-being"
複数,ふくすう,"جمع، چندگانه","plural, multiple"
含む,ふくむ,"شامل شدن، دربرداشتن","to include, to contain"
含める,ふくめる,"شامل کردن، دربرداشتن","to include, to contain"
ふくらます,ふくらます,"باد کردن، متورم کردن","to inflate, to swell"
ふくらむ,ふくらむ,"متورم شدن، منبسط شدن","to swell, to expand"
不景気な,ふけいきな,"افسرده، راکد","depressed, stagnant"
不潔な,ふけつな,"ناپاک، غیر بهداشتی","unclean, unsanitary"
不幸な,ふこうな,"ناراحت، بدبخت","unhappy, unfortunate"
不公平な,ふこうへいな,"ناعادلانه، غیر منصفانه","unfair, unjust"
ふざける,ふざける,"شوخی کردن، مسخره بازی درآوردن","to joke, to fool around"
ふさわしい,ふさわしい,"مناسب، شایسته","suitable, appropriate"
負傷する,ふしょうする,زخمی شدن,"to be injured, to be wounded"
負傷者,ふしょうしゃ,"فرد زخمی، مجروح","injured person, casualty"
夫人,ふじん,"همسر، خانم","wife, Mrs."
婦人,ふじん,"زن، بانو","woman, lady"
不正な,ふせいな,"ناعادلانه، غیر منصفانه","unjust, unfair"
不足する,ふそくする,"ناکافی بودن، کم بودن","to be insufficient, to be short"
舞台,ぶたい,"صحنه (تئاتر)، صحنه","stage (theater), scene"
双子,ふたご,دوقلو,twins
負担する,ふたんする,"تحمل کردن (بار)، به دوش کشیدن","to bear (a burden), to shoulder"
不調な,ふちょうな,"خراب، در شرایط بد","out of order, in bad condition"
復興する,ふっこうする,"احیا کردن، بازسازی کردن","to revive, to reconstruct"
太り気味,ふとりぎみ,تمایل به اضافه وزن,tending to gain weight
無難な,ぶなんな,"ایمن، مطمئن","safe, secure"
赴任する,ふにんする,تصدی کردن یک پست,to take up a post
不燃ごみ,ふねんごみ,زباله های غیر قابل احتراق,non-combustible waste
不平等な,ふびょうどうな,"نابرابر، ناعادلانه","unequal, unfair"
吹雪,ふぶき,"کولاک، بوران","snowstorm, blizzard"
不平,ふへい,"نارضایتی، شکایت","discontent, complaint"
不平不満,ふへいふまん,"نارضایتی، عدم رضایت","discontent, dissatisfaction"
不明な,ふめいな,"نامشخص، ناشناخته","unclear, unknown"
不問,ふもん,بدون سوال,no question asked
不用品,ふようひん,"کالاهای غیر ضروری، اقلام استفاده نشده","unnecessary goods, unused items"
フライト,ふらいと,پرواز,flight
プライド,プライド,غرور,pride
プライバシー,プライバシー,حریم خصوصی,privacy
ふらふらする,ふらふらする,"تلو تلو خوردن، احساس سرگیجه کردن","to stagger, to feel dizzy"
プラン,プラン,"طرح، برنامه",plan
フリーな,フリーな,آزاد,free
フリーサイズ,フリーサイズ,سایز آزاد,free size
フリーダイヤル,フリーダイヤル,شماره رایگان,toll-free number
振り返る,ふりかえる,"نگاه به عقب انداختن، تأمل کردن","to look back, to reflect"
振り込む,ふりこむ,واریز کردن پول (به حساب),to transfer money (to an account)
プリンタ,プリンタ,چاپگر,printer
プリントアウトする,プリントアウトする,چاپ کردن,to print out
フルコース,フルコース,دوره کامل,full course
古雑誌,ふるざっし,مجلات قدیمی,old magazines
古新聞,ふるしんぶん,روزنامه های قدیمی,old newspapers
フレッシュな,フレッシュな,تازه,fresh
フレンドリーな,フレンドリーな,دوستانه,friendly
プロジェクト,プロジェクト,پروژه,project
プロジェクトチーム,プロジェクトチーム,تیم پروژه,project team
プロセス,プロセス,فرآیند,process
風呂場,ふろば,حمام,bathroom
プロポーズする,プロポーズする,پیشنهاد ازدواج دادن,to propose marriage
ふわふわする,ふわふわする,"سبک شناور شدن، کرکی بودن","to float lightly, to be fluffy"
文書,ぶんしょ,"سند، نوشته","document, writing"
分析する,ぶんせきする,تحلیل کردن,to analyze
分別する,ぶんべつする,"طبقه بندی کردن، مرتب کردن","to classify, to sort"
文明,ぶんめい,تمدن,civilization
文明的な,ぶんめいてきな,متمدن,civilized
分野,ぶんや,"زمینه، حوزه","field, area"
分類,ぶんるい,طبقه بندی (طبقه بندی کردن),classification (to classify)
ペア,ペア,جفت,pair
ヘアケア,ヘアケア,مراقبت از مو,hair care
閉会,へいかい,اختتامیه (بستن جلسه),closing (to close a meeting)
閉会式,へいかいしき,مراسم اختتامیه,closing ceremony
平均寿命,へいきんじゅみょう,امید به زندگی,life expectancy
弊社,へいしゃ,شرکت ما,our company
平凡な,へいぼん な,"معمولی، رایج",ordinary
別に,べつに,"(نه) به خصوص، هیچ چیز (به خصوص)",(not) particularly
ベテラン,ベテラン,کهنه کار,veteran
ヘルパー,ヘルパー,کمک کننده,helper
勉強家,べんきょうか,فرد درس خوان,studious person
勉強不足,べんきょうぶそく,"کمبود مطالعه، مطالعه ناکافی",lack of study
返金,へんきん,بازپرداخت (بازپرداخت کردن),refund (to refund)
返済,へんさい,بازپرداخت (بازپرداخت کردن),repayment (to repay)
編集,へんしゅう,ویرایش (ویرایش کردن),editing (to edit)
編集者,へんしゅうしゃ,ویراستار,editor
ペンネーム,ペンネーム,نام مستعار,pen name
便秘,べんぴ,یبوست (مبتلا به یبوست شدن),constipation (to be constipated)
返品,へんぴん,کالای مرجوعی (مرجوع کردن کالا),returned goods (to return goods)
放映(する),ほうえい,پخش (پخش کردن),broadcasting (to broadcast)
冒険(する),ぼうけん,ماجراجویی (ماجراجویی کردن),adventure (to adventure)
防止(する),ぼうし,پیشگیری (پیشگیری کردن),prevention (to prevent)
方針,ほうしん,"سیاست، برنامه","policy, plan"
包装(する),ほうそう,بسته بندی (بسته بندی کردن),packaging (to package)
法則,ほうそく,"قانون، قاعده","law, rule"
放っておく,ほうっておく,"رها کردن، غفلت کردن","to leave alone, to neglect"
ぼうっと(する),ぼうっと,"حواس پرت بودن، گیج بودن","to be absentminded, to be in a daze"
報道(する),ほうどう,گزارش خبری (گزارش دادن),news report (to report)
報道番組,ほうどうばんぐみ,برنامه خبری,news program
防犯,ぼうはん,پیشگیری از جرم,crime prevention
防犯カメラ,ぼうはん カメラ,دوربین امنیتی,security camera
防犯ベル,ぼうはん ベル,زنگ هشدار امنیتی,security alarm
方面,ほうめん,"جهت، منطقه","direction, area"
暴力,ぼうりょく,خشونت,violence
ボート,ボート,قایق,boat
ホーム ヘルパー,ホーム ヘルパー,مددکار خانگی,home helper
補給 (する),ほきゅう,"تامین، تکمیل (تامین کردن، تکمیل کردن)","supply, replenishment (to supply, to replenish)"
募金 (する),ぼきん,"جمع آوری کمک مالی، کمک مالی (جمع آوری کمک مالی کردن، کمک مالی کردن)","fund-raising, donation (to raise funds, to donate)"
歩行者,ほこうしゃ,عابر پیاده,pedestrian
誇り,ほこり,غرور,pride
誇る,ほこる,افتخار کردن به,to be proud of
ポジティブ な,ポジティブ な,مثبت,positive
墓地,ぼち,قبرستان,"cemetery, graveyard"
ほどく,ほどく,"باز کردن، باز کردن گره","to untie, to unfasten"
ほぼ,ほぼ,"تقریباً، نزدیک","almost, nearly"
保留 (する),ほりゅう,"رزرو، تعلیق (رزرو کردن، تعلیق کردن)","reservation, suspension (to reserve, to suspend)"
ボリューム,ボリューム,حجم,volume
ぽろぽろ な,ぽろぽろ な,"خرد شده، تکه تکه","crumbly, in pieces"
本格 的 な,ほんかく てき な,"تمام عیار، معتبر","full-scale, authentic"
本体,ほんたい,بدنه اصلی,main body
本年,ほんねん,امسال,this year
ほんの,ほんの,"فقط، صرفاً","just, merely"
本番,ほんばん,"اجرای واقعی، رویداد اصلی","actual performance, main event"
本名,ほんみょう,نام واقعی,real name
ぼんやり (する),ぼんやり,"مبهم، حواس پرت (مبهم بودن، حواس پرت بودن)","vaguely, absentmindedly (to be vague, to be absentminded)"
本来,ほんらい,"در اصل، اساساً","originally, essentially"
マジシャン,マジシャン,شعبده باز,magician
マジック,マジック,جادو,magic
増す,ます,"افزایش دادن، رشد کردن","to increase, to grow"
マスコミ,マスコミ,رسانه های جمعی,mass media
マス コミュニケーション,マス コミュニケーション,ارتباطات جمعی,mass communication
また,また,"دوباره، و","again, and"
またぐ,またぐ,"پا را دراز کردن، قدم گذاشتن روی","to straddle, to step over"
または,または,"یا، یا اینکه","or, either"
街,まち,شهر,"town, city"
マッサージ (する),マッサージ,ماساژ (ماساژ دادن),massage (to massage)
間取り,まどり,نقشه طبقه,floor plan
学ぶ,まなぶ,"یاد گرفتن، مطالعه کردن","to learn, to study"
招く,まねく,"دعوت کردن، اشاره کردن","to invite, to beckon"
間もなく,まもなく,"به زودی، به زودی","soon, shortly"
守る,まもる,"محافظت کردن، دفاع کردن","to protect, to defend"
万一,まんいち,"به هر حال، در صورت بعید","by any chance, in the unlikely event"
満足 (な/する),まんぞく,"رضایت (راضی بودن، راضی کردن)","satisfaction (to be satisfied, to satisfy)"
見合わせる,みあわせる,"به تعویق انداختن، معلق کردن","to postpone, to suspend"
見送る,みおくる,"بدرقه کردن، همراهی کردن","to see off, to escort"
見かけ,みかけ,"ظاهر، قیافه","appearance, looks"
味方,みかた,"متحد، حامی","ally, supporter"
見方,みかた,"دیدگاه، طرز نگاه کردن به چیزها","viewpoint, way of looking at things"
間,ま,"فضا، اتاق","space, room"
見聞き(する),みきき,"دیدن و شنیدن، تجربه کردن","to see and hear, to experience"
マイ ナンバー,マイ ナンバー,شماره من (سیستم شماره فردی),My Number (individual number system)
見苦しい,みぐるしい,"ناپسند، شرم آور","unsightly, shameful"
マイ ブーム,マイ ブーム,"رونق شخصی، چیزی که فرد به آن وسواس دارد","personal boom, something one is obsessed with"
見事 な,みごと な,"باشکوه، شگفت انگیز","splendid, wonderful"
マイ ホーム,マイ ホーム,خانه شخصی,one's own home
みじめ な,みじめ な,"بدبخت، رنجور","miserable, wretched"
前向き,まえむき,"مثبت، آینده نگر","positive, forward-looking"
見知らぬ,みしらぬ,"ناشناخته، ناآشنا","unknown, unfamiliar"
前もって,まえもって,"از قبل، پیشاپیش","in advance, beforehand"
見知らぬ 町,みしらぬ まち,شهر ناآشنا,unfamiliar town
任せる,まかせる,"سپردن، واگذار کردن","to entrust, to leave to"
自ら,みずから,"خود، شخصاً","oneself, personally"
紛らわしい,まぎらわしい,"گیج کننده، گمراه کننده","confusing, misleading"
見出し,みだし,"عنوان، تیتر","heading, title"
まける,まける,"کاهش قیمت دادن، تخفیف دادن","to reduce the price, to give a discount"
乱す,みだす,"مختل کردن، برهم زدن","to disturb, to disrupt"
負ける,まける,"باختن، شکست خوردن","to lose, to be defeated"
見た目,みため,"ظاهر، قیافه","appearance, looks"
まごまご(する),まごまご,"گیج شدن، تردید کردن","to be confused, to hesitate"
乱れる,みだれる,"مختل شدن، آشفته شدن","to be disturbed, to be disordered"
まさに,まさに,"دقیقاً، به طور دقیق","exactly, precisely"
身近(な),みぢか,"آشنا، نزدیک به خود","familiar, close to oneself"
みっともない,みっともない ,"شرم آور، ناشایست","shameful, indecent"
結ぶ,むすぶ ,"بستن، گره زدن","to tie, to bind"
見つめ合う,みつめあう ,به هم خیره شدن,to gaze at each other
胸 が 痛む,むね が いたむ ,احساس درد در قلب کردن,to feel a pain in one's heart
見つめる,みつめる ,خیره شدن به,"to gaze at, to stare at"
胸 が 一 杯 に なる,むね が いっぱい に なる ,لبریز از احساسات شدن,to be filled with emotion
認める,みとめる ,"تشخیص دادن، اعتراف کردن","to recognize, to admit"
胸 を はずま せる,むね を はずま せる ,هیجان زده بودن,to be excited
南 向き,みなみ むき ,رو به جنوب,facing south
無理やり,むりやり ,"به زور، برخلاف میل کسی","forcibly, against one's will"
見習い,みならい ,"کارآموزی، آموزش","apprenticeship, training"
芽,め ,جوانه,"bud, sprout"
見習う,みならう ,"یاد گرفتن از، پیروی کردن از یک الگو","to learn from, to follow an example"
明確 な,めいかく な ,"واضح، دقیق","clear, precise"
見慣れる,みなれる ,آشنا بودن با,to be familiar with
名作,めいさく ,شاهکار,masterpiece
みにくい,みにくい ,"زشت، ناپسند","ugly, unsightly"
名産,めいさん ,محصول محلی,local specialty
身 に つける,み に つける ,"به دست آوردن، یاد گرفتن","to acquire, to learn"
名 所,めいしょ ,"مکان مشهور، نشانه","famous place, landmark"
見逃す,みのがす ,"از دست دادن، چشم پوشی کردن","to miss, to overlook"
名所 巡り,めいしょ めぐり ,تور بازدید از مکان های مشهور,sightseeing tour of famous places
身の回り,み の まわり ,"محیط اطراف، وسایل شخصی","one's surroundings, one's personal effects"
名人,めいじん ,"استاد، متخصص","master, expert"
身分,みぶん ,"موقعیت اجتماعی، مقام","social status, position"
名 物,めいぶつ ,"محصول محلی، محصول مشهور","local specialty, famous product"
身分 証明 書,みぶん しょうめい しょ ,کارت شناسایی,identification card
めいめい,めいめい ,"هر فرد، به طور جداگانه","each person, individually"
見回り,み まわり ,"گشت زنی، دور زدن","patrol, round"
迷惑 行為,めいわく こうい ,"مزاحمت، رفتار دردسرساز","nuisance, troublesome behavior"
見回る,み まわる ,"گشت زنی کردن، دور زدن","to patrol, to make rounds"
目 上,めうえ ,"مافوق، ارشد","superior, senior"
耳 が 痛い,みみ が いたい ,از انتقاد رنجیدن,to be stung by criticism
目 が ない,め が ない ,"دیوانه چیزی بودن، شیفته چیزی بودن","to be crazy about, to be infatuated with"
耳 が 遠い,みみ が とおい ,کم شنوا بودن,to be hard of hearing
目 が 離せ ない,め が はなせ ない ,نمی توان چشم برداشت,cannot take one's eyes off
耳 に する,みみ に する ,"شنیدن، به گوش رسیدن","to hear, to come to one's ears"
目 が 回る,め が まわる ,"خیلی مشغول بودن، سرگیجه داشتن","to be very busy, to be dizzy"
耳 を 疑う,みみ を うたがう ,به گوش های خود شک کردن,to doubt one's ears
恵まれる,めぐまれる ,"برخوردار بودن از، خوش شانس بودن","to be blessed with, to be fortunate"
耳 を 傾ける,みみ を かたむける ,با دقت گوش دادن,to listen carefully
巡る,めぐる ,"دور زدن، گشتن","to go around, to tour"
見渡す,みわたす ,"مشرف بودن به، بررسی کردن","to overlook, to survey"
目下,めした ,"زیردست، جوان تر","subordinate, junior"
民間,みんかん ,"خصوصی، غیرنظامی","private, civilian"
無意識(な),むいしき,"ناخودآگاه، ناخواسته","unconscious, unintentional"
向き,むき ,"جهت، جهت گیری","direction, orientation"
向き合う,むきあう ,"رو در رو شدن، مواجه شدن","to face each other, to confront"
向く,むく ,"رو کردن، چرخیدن به سمت","to face, to turn towards"
無口(な),むくち,"کم حرف، ساکت","taciturn, reticent"
無限(な),むげん,"بی نهایت، نامحدود","infinite, limitless"
無限大(な),むげんだい,"بی نهایت، عظیم","infinite, enormous"
無邪気(な),むじゃき,"معصوم، ساده لوح","innocent, naive"
矛盾(する),むじゅん,تناقض (تناقض داشتن),contradiction (to contradict)
むしろ,むしろ ,"ترجیحاً، بیشتر","rather, preferably"
結びつく,むすびつく ,"مرتبط بودن، مربوط بودن","to be connected, to be related"
結びつける,むすびつける ,"مرتبط کردن، پیوند دادن","to connect, to link"
めっきり,めっきり ,"به طور قابل توجه، محسوس","considerably, noticeably"
メッセージ,メッセージ ,پیام,message
メディア,メディア ,رسانه,media
めでたい,めでたい ,"فرخنده، خوشحال","auspicious, happy"
目 に 浮かぶ,め に うかぶ ,"به ذهن خطور کردن، تجسم کردن","to come to mind, to visualize"
目 に する,め に する ,"دیدن، شاهد بودن","to see, to witness"
目 に 付く,め に つく ,"به چشم آمدن، قابل توجه بودن","to catch the eye, to be noticeable"
目安,めやす ,"استاندارد، معیار","standard, criterion"
めりはり,めりはり ,"تضاد، تعدیل","contrast, modulation"
目 を 疑う,め を うたがう ,به چشم های خود شک کردن,to doubt one's eyes
目 を 通す,め を とおす ,"اسکن کردن، نگاهی انداختن","to scan, to look through"
目 を 向ける,め を むける ,"چشم ها را به سمت چیزی چرخاندن، توجه کردن به","to turn one's eyes towards, to pay attention to"
綿,めん ,پنبه,cotton
